Tournament,Game Name,Short Name,Abbr-Game,Abbr-Regions List,Region Includes,Smash URL,Alt Reg URL,Info-Cap,Stream-Pools,Stream-Finals,Matcherino URL,$-Pot Split,Info-Seeding,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Finals-Phase,Finals-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Rules-Disconnect,Staff-Lead TOs,Img-Game Logo URL,Rules-Notes,Info-Software Needed,Time-Start (PST),Time-Start (Local),TZ Main,TZ Offset,Info-Platform
AoS2 - SA/BR - (PC-Steam),Acceleration of Suguri 2,AoS2,AoS2,SA/BR,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/acceleration-of-suguri-2-br/overview,,16,https://twitch.tv/jota_sr,https://twitch.tv/jota_sr,https://matcherino.com/tournaments/87029,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"2/3 Games for Losers Finals,2/3 Games for Winners Finals,2/3 Games for Grand Finals",The tournament will be played in the latest Beta version of the game.,Winner must keep character. Loser may switch.,,"in case of unsuccessful connection, the winner will be decided by coin",Sr Jota,https://dl.airtable.com/.attachments/62e4884861ed6404750e10a499d921f1/b328bd0d/Acceleration-of-Suguri-2-logo.png,,,2023-02-10 3:00pm,2023-02-10 8:00pm,BRT,-3,PC-Steam
AC - ALL - (PC-Fightcade),Alien Challenge,AlienCha,AC,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/alien-challenge-global/overview,,None,https://twitch.tv/ViviMayoi,https://twitch.tv/ViviMayoi,https://matcherino.com/tournaments/87027,50/30/20,Region + Skill,Double Elimination,2/3,3/5,Top 4,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,Stalling out the match using Fang's DP infinite is banned. Taking more than 3 seconds between hits in one round forfeits the round for the offending player.,,ViviMayoi,https://dl.airtable.com/.attachments/560101a745fb9348a1e9a24458f97442/d07f3d7f/891b4a8e-d51a-49d5-8322-189ee6bc4657.png,,,2023-02-24 4:00pm,2023-02-24 4:00pm,PST,-8,PC-Fightcade 2
ARMS - EU - (Switch),ARMS,ARMS,ARMS,EU,Open to Europe and Maghreb / North Africa,https://www.start.gg/tournament/vortex-gallery-online-2023/event/arms-eu/overview,,32,http://twitch.tv/eu_arms,http://twitch.tv/eu_arms,https://matcherino.com/tournaments/87030,60/30/10,Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",The tournament is played in Arena mode. Make sure to add the streamer to your friends list before the tournament starts in order to ensure a smooth stream and tournament experience.,Winner & Loser may switch.,,,"Ripha,Mathias Wolfbrok",https://dl.airtable.com/.attachments/ad847bb2c20f557e270a8dbf84edaf40/3d17b9f9/ARMSLogo.png,"In this ruleset, the highest seeded player is referred to as Player 1 and his opponent as Player 2
- The tournament is played in a Best of 3 format
- Winners Finals, Losers Semis, Losers Finals and Grand Finals are played in a Best of 5 format
- All characters, ARMS and ARM loadouts are allowed
- You may switch your ARM loadouts between games
- Gentlemen's Clause: A game can be played on any stage in the game if the players agree to it
- Set Procedure:
    1. Players select their characters
    2. Player 1 bans one starter stage
    3. Player 2 bans two starter stages
    4. Player 1 picks the first game stage among the two remaining starter stages
    5. Game 1 is played
    6. The winner of the previous game bans two stages from the full stage list
    7. The loser of the previous game picks the next game stage among the remaining stages
    8. The winner announces any character switch
    9. The loser announces any character switch
    10. Play the next game
    11. Repeat steps 6 to 8 until a winner is determined
- Stage selection:
    - Starters: Sparring Ring, Buster Beach, DNA Lab, Temple Grounds, Mausoleum
    - Counterpicks: Via Dolce, Ninja College",,2023-02-12 6:00am,2023-02-12 2:00pm,UTC,0,Switch
Asuka120 - EU+NA/EC - (PC),Asuka 120% LimitOver Burning Fest.,Asuka 120%,Asuka120,"EU, NA/EC","Region free though that it'll play on uk.yuribacon.com.
USA East Coast can easily play, but further away and you'll start to have more lag.

Note:
Due to Mednafen's server structure, your lag doesn't impact your opponent. 
So it's more about your delay tolerance.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/asuka-120-limitover-burning-fest-eu-na-ec/overview,,None,https://twitch.tv/sailorvick,https://twitch.tv/sailorvick,https://matcherino.com/tournaments/87031,50/30/20,Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,Ground Infinites are okay. Kumi's 214C Glitch isn't outright banned as it can happen involuntarily. If it happens the Kumi player needs to jump immediately and jC. Full details: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Tournament_Rules,,"SailorVick,SonofTzeentch9",https://dl.airtable.com/.attachments/c7b3a974d113d113a1bc98378782c256/ba2f6dcb/Asuka-120_-LimitOver-logo.png,,"It'll be played on Mednafen / NullDC Bear, as they're both cross-compatible.
We recommend Mednafen if you don't have none of them.

You can find the emulators & rom on:
- The wiki: https://wiki.gbl.gg/w/Asuka_120_LimitOver 
- in the #resources channel of the Asuka discord: https://dsc.gg/asuka120

Map your inputs: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Controls
How to Netplay: https://wiki.gbl.gg/w/Asuka_120_LimitOver/Netplay",2023-02-26 10:00am,2023-02-26 6:00pm,UTC,0,PC
ABEW - ALL - (PC-Fightcade),Asura Buster: Eternal Warriors,Asura Buster,ABEW,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/asura-buster-eternal-warriors-global/overview,,None,https://twitch.tv/ViviMayoi,https://twitch.tv/ViviMayoi,https://matcherino.com/tournaments/86293,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,ViviMayoi,https://dl.airtable.com/.attachments/3e6f72c395e94e0d50176509ec7ce86a/ea6f742b/de8cfab5-9c8f-40a2-8625-d892c8d3bef3.png,"To avoid desyncs, the game must be manually reset before playing matches with the following characters:
- Chen-Mao (in case of a mirror or if the loser of the previous match is trying to pick her)
- Nanami (vs Chen-Mao or herself)
- Random",,2023-02-18 11:00am,2023-02-18 11:00am,PST,-8,PC-Fightcade 2
ADPB - ALL - (PC-Fightcade),Azumanga Daioh Puzzle Bobble,Puzzle Bobble,ADPB,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/azumanga-daioh-puzzle-bobble-global/overview,,128,https://twitch.tv/dekafumodeathcult,https://twitch.tv/dekafumodeathcult,https://matcherino.com/tournaments/87028,50/30/20,Skill,Double Elimination,2/3,3/5,Top 8,,,Winner must keep character. Loser may switch.,,,Deka Fumo Death Cult,https://dl.airtable.com/.attachments/1de378829140cbae7bc68f0fb9b02b85/22ca559e/adpb-logo.png,,,2023-02-12 10:00am,2023-02-12 10:00am,PST,-8,PC-Fightcade 2
BBCF - CN - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,CN,China,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-cn/overview,,32,https://live.bilibili.com/706679,https://live.bilibili.com/706679,https://matcherino.com/tournaments/87032,,,Double Elimination,,,,,,,,,Ryoma,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,"2023-02-25 3:00am, 2023-02-26 3:00am","2023-02-25 7:00pm, 2023-02-26 7:00pm","BJT, BJT","8, 8",PC-Steam
BBCF - EU - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,EU,EMEA region,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-eu/overview,,64,https://twitch.tv/thehealingpotato,https://twitch.tv/thehealingpotato,https://matcherino.com/tournaments/87033,70/20/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,HealingPotato,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,"Banned stages: Blue, Forbidden Gate, Workshop",,2023-02-11 9:00am,2023-02-11 5:00pm,UTC,0,PC-Steam
BBCF - JP - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,JP,Japan,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-jp/overview,https://challonge.com/ja/h1vdq9st,None,https://youtube.com/@zx1954,https://youtube.com/@zx1954,https://matcherino.com/tournaments/87034,,,Double Elimination,,,,,,,,,Narumi,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-25 3:00am,2023-02-25 8:00pm,JST,9,PC-Steam
BBCF - LAN - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,LAN,"Belize, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Puerto Rico, Dominican Republic, Suriname, Venezuela and countries located on the Antilles (Barbados, Jamaica, Trinidad and Tobago, etc.)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-lan/overview,,64,https://www.twitch.tv/fepielmaster,https://www.twitch.tv/fepielmaster,https://matcherino.com/tournaments/87035,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,"Shiburizu,RagnarokF4",https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-25 5:00pm,2023-02-25 7:00pm,CST,-6,PC-Steam
BBCF - NA - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,NA,"NA: US, MX, CA",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-na/overview,,None,"https://twitch.tv/chickzama, https://twitch.tv/chfinal",https://twitch.tv/Chickzama,https://matcherino.com/tournaments/87037,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Chickzama,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-18 5:00pm,2023-02-18 5:00pm,PST,-8,PC-Steam
BBCF - OCE - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-oce/overview,,None,https://twitch.tv/roboforte,https://twitch.tv/roboforte,https://matcherino.com/tournaments/87036,25/20/15/10/8/8/7/7,Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.","Firery,TheLagWizard",https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-02-25 12:00am,2023-02-25 7:00pm,AEDT,11,PC-Steam
BBCF - SA/BR - (PC-Steam),Blazblue Centralfiction,Blazblue,BBCF,SA/BR,Brazil only,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-br/overview,,None,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,https://matcherino.com/tournaments/87038,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Zate,https://dl.airtable.com/.attachments/b69d50cd63caea1ce07dde8d5f92b8c0/53d701e1/BlazBlue-Central-Fiction-logo.png,,,2023-03-04 3:00pm,2023-03-04 8:00pm,BRT,-3,PC-Steam
