Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
AoS2 - SA/BR - (PC-Steam),BR,Acceleration of Suguri 2,<a href='https://www.youtube.com/watch?v=NbyqjECAJCY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/acceleration-of-suguri-2-br/overview,Full Tourney,Nolan Phoenix (@Nolan__Phoenix),Mandaloriano (@mandaloriano_95),Pudding Squeaks (@PuddingSqueaks),Another Noob (@AnotherNuub)
AC - ALL - (PC-Fightcade),ALL,Alien Challenge,<a href='https://www.youtube.com/watch?v=4tVjuARiFow'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/alien-challenge-global/overview,Full Tourney,YuriBestGirl,<b>SNAIL</b> | ViviMayoi (@ViviMayoi),It's Valen (@GuySpanglish),CherryPixelBun (@CherryPixelBun)
ARMS - EU - (Switch),EU,ARMS,<a href='https://youtu.be/H1AwQy_V_fE'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/arms-eu/overview,Full Tourney,Ripha (@Ripha_),Raziel (@RazielWasTaken),Iceman92 (@Iceman92),Yam
Asuka120 - EU+NA/EC - (PC),"EU, NA/EC",Asuka 120% LimitOver Burning Fest.,<a href='https://youtu.be/N5IVQZJCZ0s'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/asuka-120-limitover-burning-fest-eu-na-ec/overview,Full Tourney,Narr (@gunstargum),Vick (@TheSailorVick),Fade (@fadean8),<b>CFQCS</b> | Likiminaj (@LikimiGautier)
ABEW - ALL - (PC-Fightcade),ALL,Asura Buster: Eternal Warriors,<a href='https://www.youtube.com/watch?v=4tVjuARiFow'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/asura-buster-eternal-warriors-global/overview,Full Tourney,Gabrielmugen (@gabrielmugen1),<b>SNAIL</b> | ViviMayoi (@ViviMayoi),Attitude Indicator (@attitudeindicat),linkdestroyer4 (@MrMeow08995361)
ADPB - ALL - (PC-Fightcade),ALL,Azumanga Daioh Puzzle Bobble,<a href='https://youtu.be/dGmjE9ds3aM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/azumanga-daioh-puzzle-bobble-global/overview,Full Tourney,CodyYuki (@CodyYuki_),Ratttz (@RatttzMessd),guruslum (@guruslum),Another Noob
BBCF - CN - (PC-Steam),CN,Blazblue Centralfiction,"<a href='https://www.bilibili.com/video/BV1hg4y1H7Qe/'>VOD</a>, <a href='https://www.bilibili.com/video/BV1N24y1n7jn/'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-cn/overview,Finals,LTAKHOTLAD,幽香,夫人,一刀修羅
BBCF - EU - (PC-Steam),EU,Blazblue Centralfiction,<a href='https://youtu.be/uXGD4QzS_qM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-eu/overview,Full Tourney,Star (@Star_Izanami),<b>BBEUO</b> | Sir Panda (@SirPandaaa),Asugi (@D4_Asugi),Hoon
BBCF - JP - (PC-Steam),JP,Blazblue Centralfiction,<a href='https://www.youtube.com/@zx1954'>VOD</a>,https://challonge.com/ja/h1vdq9st,Grand Finals,momiji (@momigi4423),hikomaru (@bbcf_hikomaru),zero. (@Dcp_HR7),tetsu (@tetsurk)
BBCF - LAN - (PC-Steam),LAN,Blazblue Centralfiction,<a href='https://www.youtube.com/watch?v=sbpG2PJ4toc'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-lan/overview,Full Tourney,LordMacoT,Roo,ShoWiCha,Danki
BBCF - NA - (PC-Steam),NA,Blazblue Centralfiction,"<a href='https://www.twitch.tv/videos/1742395529'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=yRABZCZakKE'>VOD 2</a>, <a href='https://youtu.be/PqcOuPf1z0c'>VOD 3</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-na/overview,Top 12,<b>Rivals | RKG</b> | Icecool (@Rivals_Icecool),Lord MacoT,Don,Nano (@Itz_Just_Nano)
BBCF - OCE - (PC-Steam),OCE,Blazblue Centralfiction,<a href='https://www.youtube.com/watch?v=KsYvGomxfdg'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-oce/overview,Full Tourney,Animap,TheLagWizard,Aether (@Aethereir),hdr
BBCF - SA/BR - (PC-Steam),BR,Blazblue Centralfiction,"<a href='https://www.twitch.tv/videos/1755840549'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=1gpDB91MtuA&ab_channel=BOBLEIS'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/blazblue-central-fiction-br/overview,Full Tourney,<b>UA</b> | Receita Federal (@MillerRobert1),CCC (@CccIzanami),Jaogetsu (@Jaogetsu),Acido (@Andreacguilherm)
