Game-Phase,Tournament,Phase,Final VOD URL
ABEW - ALL - (PC-Fightcade)-Full Tourney,ABEW - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=4tVjuARiFow
AC - ALL - (PC-Fightcade)-Full Tourney,AC - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=4tVjuARiFow
ADPB - ALL - (PC-Fightcade)-Full Tourney,ADPB - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/dGmjE9ds3aM
AoS2 - SA/BR - (PC-Steam)-Full Tourney,AoS2 - SA/BR - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=NbyqjECAJCY
ARMS - EU - (Switch)-Full Tourney,ARMS - EU - (Switch),Full Tourney,https://youtu.be/H1AwQy_V_fE
Asuka120 - EU+NA/EC - (PC)-Full Tourney,Asuka120 - EU+NA/EC - (PC),Full Tourney,https://youtu.be/N5IVQZJCZ0s
BBCF - CN - (PC-Steam)-Pools,BBCF - CN - (PC-Steam),Pools,https://www.bilibili.com/video/BV1hg4y1H7Qe/
BBCF - CN - (PC-Steam)-Finals,BBCF - CN - (PC-Steam),Finals,https://www.bilibili.com/video/BV1N24y1n7jn/
BBCF - EU - (PC-Steam)-Full Tourney,BBCF - EU - (PC-Steam),Full Tourney,https://youtu.be/uXGD4QzS_qM
BBCF - JP - (PC-Steam)-Grand Finals,BBCF - JP - (PC-Steam),Grand Finals,https://www.youtube.com/@zx1954
BBCF - LAN - (PC-Steam)-Full Tourney,BBCF - LAN - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=sbpG2PJ4toc
BBCF - NA - (PC-Steam)-Full Tourney,BBCF - NA - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1742395529 https://www.youtube.com/watch?v=yRABZCZakKE
BBCF - NA - (PC-Steam)-Top 12,BBCF - NA - (PC-Steam),Top 12,https://youtu.be/PqcOuPf1z0c
BBCF - OCE - (PC-Steam)-Full Tourney,BBCF - OCE - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=KsYvGomxfdg
BBCF - SA/BR - (PC-Steam)-Full Tourney,BBCF - SA/BR - (PC-Steam),Full Tourney,"https://www.twitch.tv/videos/1755840549
https://www.youtube.com/watch?v=1gpDB91MtuA&ab_channel=BOBLEIS"
BBCF - SA/SUD - (PC-Steam)-Full Tourney,BBCF - SA/SUD - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=U7IfCOFJr38
