Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Pic URL
Aranlyde,@Aranlyde,they/them,,,
Brett,@HellaBrett,,,twitch.tv/thebrett,https://dl.airtable.com/.attachments/7576710d2af23357a528b47fb8cee1d9/62aaaff9/staff_brett.jpg
Chickzama,@chickzama,any,,https://twitter.com/Chickzama,https://dl.airtable.com/.attachments/12eec7166ee9700ad94f540445703559/6ea68d5b/staff_chickzama.jpg
Coren,@CxR_Coren,,,https://twitter.com/cxr_coren,https://dl.airtable.com/.attachments/4d524512302d6f7280fb383137c43132/73824dda/staff_coren.jpg
DJCream,@DarylBunao,,,https://twitter.com/DarylBunao,https://dl.airtable.com/.attachments/027feac13ca5ddeaa4722838b5ba1b21/9dd2eaa6/staff_djcream.jpg
Giby,@ManChest,he/him,"What impudence you human being
",https://twitter.com/ManChest,https://dl.airtable.com/.attachments/141a7d5b6f9ce73e761d995c62b7f4b8/4df56955/staff_giby.jpg
Hagure,@Hagure,they/them,"All roads in the Vortex Gallery leads to the slime. Loves to play lame af. He goes to events to TO games, eat good food, & mix drinks. See him in Marvel 2/3, UNI, VSAV or TMNT:TF — first round of drinks is on the loser!",https://github.com/hagure,https://dl.airtable.com/.attachments/9b07bae24168bb7c5989faaa1cdd0b69/ae90d46c/staff_hagure.jpg
Kiyobi,,,,,
Kumubou,@kumubou,he/him,,https://twitter.com/kumubou,https://dl.airtable.com/.attachments/df05c720372efc2e53f343830ecb694b/38a875f1/76693228_p0.png
Linus,@WasabiLinus,he/him,,https://twitter.com/WasabiLinus,https://dl.airtable.com/.attachments/ef32a37e05c2cd103de866378c8ee37e/050e76e4/staff_linus.jpg
Numakie,@numakie,,,https://twitter.com/numakie,https://dl.airtable.com/.attachments/ffba5c542bfad5eaab58a42b55fd372b/62459267/staff_numakie.jpg
Osugure,@Osugure,he/him,"Always doing too much, never stops doing too much, confused on how I even do so much....",https://twitter.com/Osugure,https://dl.airtable.com/.attachments/406fc62336b77d1bb958753810cd9f9f/4df1b0cd/IzaSalt.png
Shiburizu,@shiburizu,he/him,"956Pro Tech, Mizuumi Wiki & SuperCombo.gg chief editor.",https://twitter.com/shiburizu,https://dl.airtable.com/.attachments/911ff099d5ee8892d2bb450eedeac32d/2fbfd80f/staff_shiburizu.jpg
shtkn,@shtkn,he/him,,,
TENMA,@tenma0105,,,https://twitter.com/tenma0105,https://dl.airtable.com/.attachments/e1577d2c89d10a39c075d09405608dbf/6ad3b7b4/staff_tenma.jpg
